,budget,usa_gross_income,worlwide_gross_income
1090,,,
1091,$ 184000,,
1092,,,
1093,,,
1094,$ 220000,,
1095,,,
1096,,,
1097,,,
1098,,,
1099,,,
1100,,,
1101,,,
1102,,,
1103,,,
1104,,,
1105,,,
1106,,,
1107,,,
1108,,,
1109,,,
1110,$ 249000,,
1111,,,
1112,$ 438000,,
1113,,,
1114,,,
1115,,,
1116,$ 810568,,
1117,,,
1118,,,
1119,,,
1120,,,
1121,,,
1122,,,
1123,,,
1124,,,
1125,$ 338000,,
1126,,,
1127,,,
1128,,,
1129,,,
1130,,$ 35566,$ 35566
1131,,,
1132,,,
1133,,,
1134,,,
1135,,,
1136,,,
1137,,,
1138,,$ 8262,$ 8262
1139,,,
1140,,,
1141,,,
1142,,,
1143,,,
1144,,,
1145,,,
1146,,,
1147,,,
1148,,,
1149,,,
1150,,,
1151,,,
1152,,,
1153,,,
1154,,,
1155,,,
1156,,,
1157,,,
1158,$ 260000,,
1159,,,
1160,,,
1161,,,
1162,,,
1163,,,
1164,,,
1165,,,
1166,,,
1167,,,
1168,$ 293000,,
1169,,,
1170,,,
1171,,,
1172,GBP 600000,,
1173,,,
1174,,,
1175,,,
1176,,,
1177,,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,,,
1185,,,
1186,,,
1187,,,
1188,,,
1189,,,
1190,,,
1191,,,
1192,,,
1193,$ 494000,,
1194,,,
1195,,,
1196,,,
1197,$ 276000,,
1198,,,
1199,,,
1200,,,
1201,,,
1202,,,
1203,,,
1204,,,
1205,$ 503000,,
1206,,,
1207,$ 302000,,
1208,,,
1209,,,
1210,,,
1211,,,
1212,,,
1213,$ 584000,,
1214,,,
1215,,,
1216,,,
1217,$ 572638,,
1218,,,
1219,$ 150000,,
1220,,,
1221,,,
1222,$ 354162,,
1223,,,
1224,,,
1225,,,
1226,,,
1227,$ 1312636,,
1228,,,
1229,,,
1230,,,
1231,,,
1232,,,
1233,,,
1234,$ 251289,,
1235,,,
1236,,,
1237,,,
1238,,,
1239,,,
1240,,,
1241,$ 305000,,
1242,,,
1243,,,
1244,$ 458000,,
1245,,,
1246,$ 433000,,
1247,$ 460733,,
1248,,,
1249,,,
1250,$ 230000,,
1251,,,
1252,,,
1253,,,
1254,,,
1255,,,
1256,$ 300000,,
1257,,,
1258,,,
1259,,,
1260,,,
1261,,,
1262,$ 602620,,
1263,,,$ 2805
1264,$ 889154,,
1265,,,
1266,,,
1267,,,
1268,$ 489652,,
1269,,,
1270,,,
1271,$ 349456,,
1272,,,
1273,$ 286000,,
1274,$ 619000,,
1275,,,
1276,,,
1277,,,
1278,,,
1279,,,
1280,,,
1281,,,
1282,,,
1283,,,
1284,,,
1285,,,
1286,,,
1287,$ 535000,,$ 16615
1288,$ 350000,,
1289,,,
1290,,,
1291,,,
1292,$ 203420,,
1293,,,
1294,,$ 8262,$ 8262
1295,$ 799520,,
1296,,,
1297,,,
1298,$ 214000,,
1299,$ 480000,,
1300,,,
1301,$ 310607,,$ 4072
1302,,,
1303,,,
1304,$ 41000,,
1305,,,
1306,,,
1307,$ 700000,,
1308,,,
1309,,,
1310,,,
1311,,,
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
1317,,,
1318,,,
1319,,,
1320,,,
1321,$ 514000,,
1322,,,
1323,$ 195845,,
1324,,,
1325,$ 225000,,
1326,,,
1327,,,
1328,$ 291039,,
1329,,,
1330,,,
1331,,,
1332,,,
1333,,,
1334,,,
1335,$ 541075,,
1336,,,
1337,,,
1338,,,
1339,,,
1340,,,
1341,,,
1342,,,
1343,$ 621000,,
1344,,,
1345,,,
1346,,,
1347,,,
1348,,,
1349,,,
1350,,,
1351,,,
1352,$ 50000,,
1353,,,
1354,$ 327627,,
1355,$ 558000,,
1356,$ 165000,,
1357,,,
1358,,,
1359,,,
1360,,,
1361,,,
1362,,,
1363,,,
1364,,,
1365,,,
1366,$ 218869,,
1367,,,
1368,$ 675000,,
1369,,,
1370,$ 196000,,
1371,,,
1372,$ 190000,,
1373,,,
1374,,,
1375,,,
1376,,,
1377,,,
1378,,,
1379,,,
1380,,,
1381,,,
1382,,$ 25678,$ 34649
1383,,,
1384,,,
1385,,,
1386,,,
1387,,,
1388,,,
1389,,,
1390,,,
1391,,,
1392,$ 187000,,
1393,,,
1394,,,
1395,$ 438000,,
1396,,,
1397,$ 628000,,
1398,$ 202000,,
1399,,,
1400,,,
1401,$ 408000,,
1402,,,
1403,$ 401000,,
1404,,,
1405,,,
1406,,,
1407,,,
1408,,,
1409,,,
1410,,,
1411,,,$ 1308000
1412,,,
1413,,,
1414,,,
1415,,,
1416,,,
1417,,,
1418,,,
1419,,,
1420,,,
1421,,,
1422,,,
1423,,,
1424,,,
1425,$ 851000,,
1426,$ 228000,,
1427,$ 423000,,
1428,,,
1429,,,
1430,,,
1431,$ 654000,,
1432,,,
1433,,,
1434,,,
1435,,,
1436,,,
